Customer_ID,Customer_Name,Segment
AG-103003,"Aleksandra Gannaway",Corporate
AG-103004,"Aleksandra Gannaway",Corporate
AG-103301,"Alex Grayson",Consumer
AG-103302,"Alex Grayson",Consumer
AG-103303,"Alex Grayson",Consumer
AG-103304,"Alex Grayson",Consumer
AG-103901,"Allen Goldenen",Consumer
AG-103902,"Allen Goldenen",Consumer
AG-103903,"Allen Goldenen",Consumer
AG-103904,"Allen Goldenen",Consumer
AG-104951,"Andrew Gjertsen",Corporate
AG-104952,"Andrew Gjertsen",Corporate
AG-104953,"Andrew Gjertsen",Corporate
AG-104954,"Andrew Gjertsen",Corporate
AG-105251,"Andy Gerbode",Corporate
AG-105252,"Andy Gerbode",Corporate
AG-105253,"Andy Gerbode",Corporate
AG-105254,"Andy Gerbode",Corporate
AG-106751,"Anna Gayman",Consumer
AG-106752,"Anna Gayman",Consumer
AG-106753,"Anna Gayman",Consumer
AG-106754,"Anna Gayman",Consumer
AG-107651,"Anthony Garverick","Home Office"
AG-107652,"Anthony Garverick","Home Office"
AG-107653,"Anthony Garverick","Home Office"
AG-107654,"Anthony Garverick","Home Office"
AG-109001,"Arthur Gainer",Consumer
AG-109002,"Arthur Gainer",Consumer
AG-109003,"Arthur Gainer",Consumer
AG-109004,"Arthur Gainer",Consumer
AG-2701,"Alejandro Grove",Consumer
AG-2702,"Alejandro Grove",Consumer
AG-2703,"Alejandro Grove",Consumer
AG-3001,"Aleksandra Gannaway",Corporate
AG-3002,"Aleksandra Gannaway",Corporate
AG-3301,"Alex Grayson",Consumer
AG-3302,"Alex Grayson",Consumer
AG-3901,"Allen Goldenen",Consumer
AG-3902,"Allen Goldenen",Consumer
AG-4951,"Andrew Gjertsen",Corporate
AG-4952,"Andrew Gjertsen",Corporate
AG-4953,"Andrew Gjertsen",Corporate
AG-5251,"Andy Gerbode",Corporate
AG-5252,"Andy Gerbode",Corporate
AG-6751,"Anna Gayman",Consumer
AG-6752,"Anna Gayman",Consumer
AG-7651,"Anthony Garverick","Home Office"
AG-7652,"Anthony Garverick","Home Office"
AG-9001,"Arthur Gainer",Consumer
AH-100301,"Aaron Hawkins",Corporate
AH-100302,"Aaron Hawkins",Corporate
AH-100303,"Aaron Hawkins",Corporate
AH-100304,"Aaron Hawkins",Corporate
AH-100751,"Adam Hart",Corporate
AH-100752,"Adam Hart",Corporate
AH-100753,"Adam Hart",Corporate
AH-100754,"Adam Hart",Corporate
AH-101201,"Adrian Hane","Home Office"
AH-101202,"Adrian Hane","Home Office"
AH-101203,"Adrian Hane","Home Office"
AH-101204,"Adrian Hane","Home Office"
AH-101951,"Alan Haines",Corporate
AH-101952,"Alan Haines",Corporate
AH-101953,"Alan Haines",Corporate
AH-101954,"Alan Haines",Corporate
AH-102101,"Alan Hwang",Consumer
AH-102102,"Alan Hwang",Consumer
AH-102103,"Alan Hwang",Consumer
AH-102104,"Alan Hwang",Consumer
AH-104651,"Amy Hunt",Consumer
AH-104652,"Amy Hunt",Consumer
AH-104653,"Amy Hunt",Consumer
AH-104654,"Amy Hunt",Consumer
AH-105851,"Angele Hood",Consumer
AH-105852,"Angele Hood",Consumer
AH-105853,"Angele Hood",Consumer
AH-105854,"Angele Hood",Consumer
AH-106901,"Anna Häberlin",Corporate
AH-106902,"Anna Häberlin",Corporate
AH-106903,"Anna Häberlin",Corporate
AH-106904,"Anna Häberlin",Corporate
AH-1201,"Adrian Hane","Home Office"
AH-1202,"Adrian Hane","Home Office"
AH-1951,"Alan Haines",Corporate
AH-1952,"Alan Haines",Corporate
AH-1953,"Alan Haines",Corporate
AH-2101,"Alan Hwang",Consumer
AH-2102,"Alan Hwang",Consumer
AH-301,"Aaron Hawkins",Corporate
AH-302,"Aaron Hawkins",Corporate
AH-4651,"Amy Hunt",Consumer
AH-4652,"Amy Hunt",Consumer
AH-5851,"Angele Hood",Consumer
AH-5852,"Angele Hood",Consumer
AH-6901,"Anna Häberlin",Corporate
AH-6902,"Anna Häberlin",Corporate
AH-751,"Adam Hart",Corporate
AH-752,"Adam Hart",Corporate
AH-753,"Adam Hart",Corporate
AI-108551,"Arianne Irving",Consumer
AI-108552,"Arianne Irving",Consumer
AI-108553,"Arianne Irving",Consumer
AI-108554,"Arianne Irving",Consumer
AI-8551,"Arianne Irving",Consumer
AI-8552,"Arianne Irving",Consumer
AJ-107801,"Anthony Jacobs",Corporate
AJ-107802,"Anthony Jacobs",Corporate
AJ-107803,"Anthony Jacobs",Corporate
AJ-107804,"Anthony Jacobs",Corporate
AJ-107951,"Anthony Johnson",Corporate
AJ-107952,"Anthony Johnson",Corporate
AJ-107953,"Anthony Johnson",Corporate
AJ-107954,"Anthony Johnson",Corporate
AJ-109451,"Ashley Jarboe",Consumer
AJ-109452,"Ashley Jarboe",Consumer
AJ-109453,"Ashley Jarboe",Consumer
AJ-109454,"Ashley Jarboe",Consumer
AJ-109601,"Astrea Jones",Consumer
AJ-109602,"Astrea Jones",Consumer
AJ-109603,"Astrea Jones",Consumer
AJ-109604,"Astrea Jones",Consumer
AJ-7801,"Anthony Jacobs",Corporate
AJ-7802,"Anthony Jacobs",Corporate
AJ-7803,"Anthony Jacobs",Corporate
AJ-7951,"Anthony Johnson",Corporate
AJ-7952,"Anthony Johnson",Corporate
AJ-9451,"Ashley Jarboe",Consumer
AJ-9452,"Ashley Jarboe",Consumer
AJ-9601,"Astrea Jones",Consumer
AJ-9602,"Astrea Jones",Consumer
AM-103601,"Alice McCarthy",Corporate
AM-103602,"Alice McCarthy",Corporate
AM-103603,"Alice McCarthy",Corporate
AM-103604,"Alice McCarthy",Corporate
AM-107051,"Anne McFarland",Consumer
AM-107052,"Anne McFarland",Consumer
AM-107053,"Anne McFarland",Consumer
AM-107054,"Anne McFarland",Consumer
AM-3601,"Alice McCarthy",Corporate
AM-3602,"Alice McCarthy",Corporate
AM-7051,"Anne McFarland",Consumer
AM-7052,"Anne McFarland",Consumer
AM-7053,"Anne McFarland",Consumer
AO-108101,"Anthony O'Donnell",Corporate
AO-108102,"Anthony O'Donnell",Corporate
AO-108103,"Anthony O'Donnell",Corporate
AO-108104,"Anthony O'Donnell",Corporate
AO-8101,"Anthony O'Donnell",Corporate
AO-8102,"Anthony O'Donnell",Corporate
AO-8103,"Anthony O'Donnell",Corporate
AP-107201,"Anne Pryor","Home Office"
AP-107202,"Anne Pryor","Home Office"
AP-107203,"Anne Pryor","Home Office"
AP-107204,"Anne Pryor","Home Office"
AP-109151,"Arthur Prichep",Consumer
AP-109152,"Arthur Prichep",Consumer
AP-109153,"Arthur Prichep",Consumer
AP-109154,"Arthur Prichep",Consumer
AP-7201,"Anne Pryor","Home Office"
AP-7202,"Anne Pryor","Home Office"
AP-9151,"Arthur Prichep",Consumer
AP-9152,"Arthur Prichep",Consumer
AR-103451,"Alex Russell",Corporate
AR-103452,"Alex Russell",Corporate
AR-103453,"Alex Russell",Corporate
AR-103454,"Alex Russell",Corporate
AR-104051,"Allen Rosenblatt",Corporate
AR-104052,"Allen Rosenblatt",Corporate
AR-104053,"Allen Rosenblatt",Corporate
AR-104054,"Allen Rosenblatt",Corporate
AR-105101,"Andrew Roberts",Consumer
AR-105102,"Andrew Roberts",Consumer
AR-105103,"Andrew Roberts",Consumer
AR-105104,"Andrew Roberts",Consumer
AR-105401,"Andy Reiter",Consumer
AR-105402,"Andy Reiter",Consumer
AR-105403,"Andy Reiter",Consumer
AR-105404,"Andy Reiter",Consumer
AR-105701,"Anemone Ratner",Consumer
AR-105702,"Anemone Ratner",Consumer
AR-105703,"Anemone Ratner",Consumer
AR-105704,"Anemone Ratner",Consumer
AR-108251,"Anthony Rawles",Corporate
AR-108252,"Anthony Rawles",Corporate
AR-108253,"Anthony Rawles",Corporate
AR-108254,"Anthony Rawles",Corporate
AR-3451,"Alex Russell",Corporate
AR-3452,"Alex Russell",Corporate
AR-4051,"Allen Rosenblatt",Corporate
AR-4052,"Allen Rosenblatt",Corporate
AR-5101,"Andrew Roberts",Consumer
AR-5102,"Andrew Roberts",Consumer
AR-5401,"Andy Reiter",Consumer
AR-5402,"Andy Reiter",Consumer
AR-5701,"Anemone Ratner",Consumer
AR-5702,"Anemone Ratner",Consumer
AR-8251,"Anthony Rawles",Corporate
AR-8252,"Anthony Rawles",Corporate
AS-100451,"Aaron Smayling",Corporate
AS-100452,"Aaron Smayling",Corporate
AS-100453,"Aaron Smayling",Corporate
AS-100454,"Aaron Smayling",Corporate
AS-100901,"Adam Shillingsburg",Consumer
AS-100902,"Adam Shillingsburg",Consumer
AS-100903,"Adam Shillingsburg",Consumer
AS-100904,"Adam Shillingsburg",Consumer
AS-101351,"Adrian Shami","Home Office"
AS-101352,"Adrian Shami","Home Office"
AS-101353,"Adrian Shami","Home Office"
AS-101354,"Adrian Shami","Home Office"
AS-102251,"Alan Schoenberger",Corporate
AS-102252,"Alan Schoenberger",Corporate
AS-102253,"Alan Schoenberger",Corporate
AS-102254,"Alan Schoenberger",Corporate
AS-102401,"Alan Shonely",Consumer
AS-102402,"Alan Shonely",Consumer
AS-102403,"Alan Shonely",Consumer
AS-102404,"Alan Shonely",Consumer
AS-102851,"Alejandro Savely",Corporate
AS-102852,"Alejandro Savely",Corporate
AS-102853,"Alejandro Savely",Corporate
AS-102854,"Alejandro Savely",Corporate
AS-106301,"Ann Steele","Home Office"
AS-106302,"Ann Steele","Home Office"
AS-106303,"Ann Steele","Home Office"
AS-106304,"Ann Steele","Home Office"
AS-1351,"Adrian Shami","Home Office"
AS-1352,"Adrian Shami","Home Office"
AS-2251,"Alan Schoenberger",Corporate
AS-2252,"Alan Schoenberger",Corporate
AS-2253,"Alan Schoenberger",Corporate
AS-2401,"Alan Shonely",Consumer
AS-2402,"Alan Shonely",Consumer
AS-2851,"Alejandro Savely",Corporate
AS-2852,"Alejandro Savely",Corporate
AS-451,"Aaron Smayling",Corporate
AS-452,"Aaron Smayling",Corporate
AS-6301,"Ann Steele","Home Office"
AS-6302,"Ann Steele","Home Office"
AS-901,"Adam Shillingsburg",Consumer
AT-104351,"Alyssa Tate","Home Office"
AT-104352,"Alyssa Tate","Home Office"
AT-104353,"Alyssa Tate","Home Office"
AT-104354,"Alyssa Tate","Home Office"
AT-107351,"Annie Thurman",Consumer
AT-107352,"Annie Thurman",Consumer
AT-107353,"Annie Thurman",Consumer
AT-107354,"Annie Thurman",Consumer
AT-4351,"Alyssa Tate","Home Office"
AT-4352,"Alyssa Tate","Home Office"
AT-7351,"Annie Thurman",Consumer
AT-7352,"Annie Thurman",Consumer
AW-108401,"Anthony Witt",Consumer
AW-108402,"Anthony Witt",Consumer
AW-108403,"Anthony Witt",Consumer
AW-108404,"Anthony Witt",Consumer
AW-109301,"Arthur Wiediger","Home Office"
AW-109302,"Arthur Wiediger","Home Office"
AW-109303,"Arthur Wiediger","Home Office"
AW-109304,"Arthur Wiediger","Home Office"
AW-8401,"Anthony Witt",Consumer
AW-9301,"Arthur Wiediger","Home Office"
AW-9302,"Arthur Wiediger","Home Office"
AY-105551,"Andy Yotov",Corporate
AY-105552,"Andy Yotov",Corporate
AY-105553,"Andy Yotov",Corporate
AY-105554,"Andy Yotov",Corporate
AY-5551,"Andy Yotov",Corporate
AY-5552,"Andy Yotov",Corporate
AZ-107501,"Annie Zypern",Consumer
AZ-107502,"Annie Zypern",Consumer
AZ-107503,"Annie Zypern",Consumer
AZ-107504,"Annie Zypern",Consumer
AZ-7501,"Annie Zypern",Consumer
AZ-7502,"Annie Zypern",Consumer
AZ-7503,"Annie Zypern",Consumer
BB-109901,"Barry Blumstein",Corporate
BB-109902,"Barry Blumstein",Corporate
BB-109903,"Barry Blumstein",Corporate
BB-109904,"Barry Blumstein",Corporate
BB-115451,"Brenda Bowman",Corporate
BB-115452,"Brenda Bowman",Corporate
BB-115453,"Brenda Bowman",Corporate
BB-115454,"Brenda Bowman",Corporate
BB-15451,"Brenda Bowman",Corporate
BB-15452,"Brenda Bowman",Corporate
BB-9901,"Barry Blumstein",Corporate
BB-9902,"Barry Blumstein",Corporate
BC-111251,"Becky Castell","Home Office"
BC-111252,"Becky Castell","Home Office"
BC-111253,"Becky Castell","Home Office"
BC-111254,"Becky Castell","Home Office"
BC-11251,"Becky Castell","Home Office"
BC-11252,"Becky Castell","Home Office"
BD-113201,"Bill Donatelli",Consumer
BD-113202,"Bill Donatelli",Consumer
BD-113203,"Bill Donatelli",Consumer
BD-113204,"Bill Donatelli",Consumer
BD-115001,"Bradley Drucker",Consumer
BD-115002,"Bradley Drucker",Consumer
BD-115003,"Bradley Drucker",Consumer
BD-115004,"Bradley Drucker",Consumer
BD-115601,"Brendan Dodson","Home Office"
BD-115602,"Brendan Dodson","Home Office"
BD-115603,"Brendan Dodson","Home Office"
BD-115604,"Brendan Dodson","Home Office"
BD-116051,"Brian Dahlen",Consumer
BD-116052,"Brian Dahlen",Consumer
BD-116053,"Brian Dahlen",Consumer
BD-116054,"Brian Dahlen",Consumer
BD-116201,"Brian DeCherney",Consumer
BD-116202,"Brian DeCherney",Consumer
BD-116203,"Brian DeCherney",Consumer
BD-116204,"Brian DeCherney",Consumer
BD-116351,"Brian Derr",Consumer
BD-116352,"Brian Derr",Consumer
BD-116353,"Brian Derr",Consumer
BD-116354,"Brian Derr",Consumer
BD-117251,"Bruce Degenhardt",Consumer
BD-117252,"Bruce Degenhardt",Consumer
BD-117253,"Bruce Degenhardt",Consumer
BD-117254,"Bruce Degenhardt",Consumer
BD-117701,"Bryan Davis",Consumer
BD-117702,"Bryan Davis",Consumer
BD-117703,"Bryan Davis",Consumer
BD-117704,"Bryan Davis",Consumer
BD-13201,"Bill Donatelli",Consumer
BD-13202,"Bill Donatelli",Consumer
BD-15001,"Bradley Drucker",Consumer
BD-15601,"Brendan Dodson","Home Office"
BD-15602,"Brendan Dodson","Home Office"
BD-16051,"Brian Dahlen",Consumer
BD-16052,"Brian Dahlen",Consumer
BD-16201,"Brian DeCherney",Consumer
BD-16202,"Brian DeCherney",Consumer
BD-16351,"Brian Derr",Consumer
BD-16352,"Brian Derr",Consumer
BD-17251,"Bruce Degenhardt",Consumer
BD-17252,"Bruce Degenhardt",Consumer
BD-17701,"Bryan Davis",Consumer
BD-17702,"Bryan Davis",Consumer
BE-113351,"Bill Eplett","Home Office"
BE-113352,"Bill Eplett","Home Office"
BE-113353,"Bill Eplett","Home Office"
BE-113354,"Bill Eplett","Home Office"
BE-114101,"Bobby Elias",Consumer
BE-114102,"Bobby Elias",Consumer
BE-114103,"Bobby Elias",Consumer
BE-114104,"Bobby Elias",Consumer
BE-114551,"Brad Eason","Home Office"
BE-114552,"Brad Eason","Home Office"
BE-114553,"Brad Eason","Home Office"
BE-114554,"Brad Eason","Home Office"
BE-13351,"Bill Eplett","Home Office"
BE-13352,"Bill Eplett","Home Office"
BE-14101,"Bobby Elias",Consumer
BE-14102,"Bobby Elias",Consumer
BE-14551,"Brad Eason","Home Office"
BE-14552,"Brad Eason","Home Office"
BF-10051,"Barry Franz","Home Office"
BF-10052,"Barry Franz","Home Office"
BF-10201,"Barry Französisch",Corporate
BF-10202,"Barry Französisch",Corporate
BF-10801,"Bart Folk",Consumer
BF-10802,"Bart Folk",Consumer
BF-10803,"Bart Folk",Consumer
BF-109751,"Barbara Fisher",Corporate
BF-109752,"Barbara Fisher",Corporate
BF-109753,"Barbara Fisher",Corporate
BF-109754,"Barbara Fisher",Corporate
BF-110051,"Barry Franz","Home Office"
BF-110052,"Barry Franz","Home Office"
BF-110053,"Barry Franz","Home Office"
BF-110054,"Barry Franz","Home Office"
BF-110201,"Barry Französisch",Corporate
BF-110202,"Barry Französisch",Corporate
BF-110203,"Barry Französisch",Corporate
BF-110204,"Barry Französisch",Corporate
BF-110801,"Bart Folk",Consumer
BF-110802,"Bart Folk",Consumer
BF-110803,"Bart Folk",Consumer
BF-110804,"Bart Folk",Consumer
BF-111701,"Ben Ferrer","Home Office"
BF-111702,"Ben Ferrer","Home Office"
BF-111703,"Ben Ferrer","Home Office"
BF-111704,"Ben Ferrer","Home Office"
BF-112151,"Benjamin Farhat","Home Office"
BF-112152,"Benjamin Farhat","Home Office"
BF-112153,"Benjamin Farhat","Home Office"
BF-112154,"Benjamin Farhat","Home Office"
BF-112751,"Beth Fritzler",Corporate
BF-112752,"Beth Fritzler",Corporate
BF-112753,"Beth Fritzler",Corporate
BF-112754,"Beth Fritzler",Corporate
BF-11701,"Ben Ferrer","Home Office"
BF-11702,"Ben Ferrer","Home Office"
BF-12151,"Benjamin Farhat","Home Office"
BF-12751,"Beth Fritzler",Corporate
BF-12752,"Beth Fritzler",Corporate
BF-9751,"Barbara Fisher",Corporate
BF-9752,"Barbara Fisher",Corporate
BG-10351,"Barry Gonzalez",Consumer
BG-110351,"Barry Gonzalez",Consumer
BG-110352,"Barry Gonzalez",Consumer
BG-110353,"Barry Gonzalez",Consumer
BG-110354,"Barry Gonzalez",Consumer
BG-116951,"Brooke Gillingham",Corporate
BG-116952,"Brooke Gillingham",Corporate
BG-116953,"Brooke Gillingham",Corporate
BG-116954,"Brooke Gillingham",Corporate
BG-117401,"Bruce Geld",Consumer
BG-117402,"Bruce Geld",Consumer
BG-117403,"Bruce Geld",Consumer
BG-117404,"Bruce Geld",Consumer
BG-16951,"Brooke Gillingham",Corporate
BG-16952,"Brooke Gillingham",Corporate
BG-17401,"Bruce Geld",Consumer
BG-17402,"Bruce Geld",Consumer
BH-117101,"Brosina Hoffman",Consumer
BH-117102,"Brosina Hoffman",Consumer
BH-117103,"Brosina Hoffman",Consumer
BH-117104,"Brosina Hoffman",Consumer
BH-17101,"Brosina Hoffman",Consumer
BH-17102,"Brosina Hoffman",Consumer
BK-112601,"Berenike Kampe",Consumer
BK-112602,"Berenike Kampe",Consumer
BK-112603,"Berenike Kampe",Consumer
BK-112604,"Berenike Kampe",Consumer
BK-12601,"Berenike Kampe",Consumer
BK-12602,"Berenike Kampe",Consumer
BM-111401,"Becky Martin",Consumer
BM-111402,"Becky Martin",Consumer
BM-111403,"Becky Martin",Consumer
BM-111404,"Becky Martin",Consumer
BM-11401,"Becky Martin",Consumer
BM-11402,"Becky Martin",Consumer
BM-115751,"Brendan Murry",Corporate
BM-115752,"Brendan Murry",Corporate
BM-115753,"Brendan Murry",Corporate
BM-115754,"Brendan Murry",Corporate
BM-116501,"Brian Moss",Corporate
BM-116502,"Brian Moss",Corporate
BM-116503,"Brian Moss",Corporate
BM-116504,"Brian Moss",Corporate
BM-117851,"Bryan Mills",Consumer
BM-117852,"Bryan Mills",Consumer
BM-117853,"Bryan Mills",Consumer
BM-117854,"Bryan Mills",Consumer
BM-15751,"Brendan Murry",Corporate
BM-15752,"Brendan Murry",Corporate
BM-16501,"Brian Moss",Corporate
BM-16502,"Brian Moss",Corporate
BM-16503,"Brian Moss",Corporate
BM-17851,"Bryan Mills",Consumer
BM-17852,"Bryan Mills",Consumer
BN-114701,"Brad Norvell",Corporate
BN-114702,"Brad Norvell",Corporate
BN-114703,"Brad Norvell",Corporate
BN-114704,"Brad Norvell",Corporate
BN-115151,"Bradley Nguyen",Consumer
BN-115152,"Bradley Nguyen",Consumer
BN-115153,"Bradley Nguyen",Consumer
BN-115154,"Bradley Nguyen",Consumer
BN-14701,"Brad Norvell",Corporate
BN-14702,"Brad Norvell",Corporate
BN-15151,"Bradley Nguyen",Consumer
BN-15152,"Bradley Nguyen",Consumer
BO-113501,"Bill Overfelt",Corporate
BO-113502,"Bill Overfelt",Corporate
BO-113503,"Bill Overfelt",Corporate
BO-113504,"Bill Overfelt",Corporate
BO-114251,"Bobby Odegard",Consumer
BO-114252,"Bobby Odegard",Consumer
BO-114253,"Bobby Odegard",Consumer
BO-114254,"Bobby Odegard",Consumer
BO-13501,"Bill Overfelt",Corporate
BO-13502,"Bill Overfelt",Corporate
BO-14251,"Bobby Odegard",Consumer
BO-14252,"Bobby Odegard",Consumer
BP-10501,"Barry Pond",Corporate
BP-10502,"Barry Pond",Corporate
BP-10951,"Bart Pistole",Corporate
BP-10952,"Bart Pistole",Corporate
BP-110501,"Barry Pond",Corporate
BP-110502,"Barry Pond",Corporate
BP-110503,"Barry Pond",Corporate
BP-110504,"Barry Pond",Corporate
BP-110951,"Bart Pistole",Corporate
BP-110952,"Bart Pistole",Corporate
BP-110953,"Bart Pistole",Corporate
BP-110954,"Bart Pistole",Corporate
BP-111551,"Becky Pak",Consumer
BP-111552,"Becky Pak",Consumer
BP-111553,"Becky Pak",Consumer
BP-111554,"Becky Pak",Consumer
BP-111851,"Ben Peterman",Corporate
BP-111852,"Ben Peterman",Corporate
BP-111853,"Ben Peterman",Corporate
BP-111854,"Ben Peterman",Corporate
BP-112301,"Benjamin Patterson",Consumer
BP-112302,"Benjamin Patterson",Consumer
BP-112303,"Benjamin Patterson",Consumer
BP-112304,"Benjamin Patterson",Consumer
BP-112901,"Beth Paige",Consumer
BP-112902,"Beth Paige",Consumer
BP-112903,"Beth Paige",Consumer
BP-112904,"Beth Paige",Consumer
BP-11551,"Becky Pak",Consumer
BP-11552,"Becky Pak",Consumer
BP-11553,"Becky Pak",Consumer
BP-11851,"Ben Peterman",Corporate
BP-11852,"Ben Peterman",Corporate
BP-12301,"Benjamin Patterson",Consumer
BP-12302,"Benjamin Patterson",Consumer
BP-12901,"Beth Paige",Consumer
BP-12902,"Beth Paige",Consumer
BS-113651,"Bill Shonely",Corporate
BS-113652,"Bill Shonely",Corporate
BS-113653,"Bill Shonely",Corporate
BS-113654,"Bill Shonely",Corporate
BS-113801,"Bill Stewart",Corporate
BS-113802,"Bill Stewart",Corporate
BS-113803,"Bill Stewart",Corporate
BS-113804,"Bill Stewart",Corporate
BS-115901,"Brendan Sweed",Corporate
BS-115902,"Brendan Sweed",Corporate
BS-115903,"Brendan Sweed",Corporate
BS-115904,"Brendan Sweed",Corporate
BS-116651,"Brian Stugart",Consumer
BS-116652,"Brian Stugart",Consumer
BS-116653,"Brian Stugart",Consumer
BS-116654,"Brian Stugart",Consumer
BS-117551,"Bruce Stewart",Consumer
BS-117552,"Bruce Stewart",Consumer
BS-117553,"Bruce Stewart",Consumer
BS-117554,"Bruce Stewart",Consumer
BS-118001,"Bryan Spruell","Home Office"
BS-118002,"Bryan Spruell","Home Office"
BS-118003,"Bryan Spruell","Home Office"
BS-118004,"Bryan Spruell","Home Office"
BS-13651,"Bill Shonely",Corporate
BS-13652,"Bill Shonely",Corporate
BS-13801,"Bill Stewart",Corporate
BS-13802,"Bill Stewart",Corporate
BS-15901,"Brendan Sweed",Corporate
BS-15902,"Brendan Sweed",Corporate
BS-16651,"Brian Stugart",Consumer
BS-16652,"Brian Stugart",Consumer
BS-17551,"Bruce Stewart",Consumer
BS-17552,"Bruce Stewart",Consumer
BS-18001,"Bryan Spruell","Home Office"
BS-18002,"Bryan Spruell","Home Office"
BT-113051,"Beth Thompson","Home Office"
BT-113052,"Beth Thompson","Home Office"
